Tenacity at Break (Standard),"0.22849",N/tex
Tensile extension at Break (Standard),"64.67944",mm
Tenacity at Yield ,,N/tex

Time,Extension,Load,Tensile strain (Extension),Tensile stress,Tenacity,Tensile extension
(s),(mm),(N),(mm/mm),(MPa),(N/tex),(mm)
"0.00000","0.00000","0.00162","0.00000","0.00027","0.00162","0.00000"
"0.10000","0.06794","-0.09630","0.00212","-0.01605","-0.09630","0.06794"
"0.20000","0.17917","-0.00907","0.00560","-0.00151","-0.00907","0.17917"
"0.30000","0.27948","0.07030","0.00873","0.01172","0.07030","0.27948"
"0.40000","0.37951","-0.01982","0.01186","-0.00330","-0.01982","0.37951"
"0.50000","0.47960","0.12602","0.01499","0.02100","0.12602","0.47960"
"0.60000","0.57964","0.04780","0.01811","0.00797","0.04780","0.57964"
"0.70000","0.67952","0.08086","0.02123","0.01348","0.08086","0.67952"
"0.80000","0.77947","0.05163","0.02436","0.00860","0.05163","0.77947"
"0.90000","0.87960","0.08220","0.02749","0.01370","0.08220","0.87960"
"1.00000","0.97962","0.11155","0.03061","0.01859","0.11155","0.97962"
"1.10000","1.07950","0.01993","0.03373","0.00332","0.01993","1.07950"
"1.20000","1.17948","0.07131","0.03686","0.01189","0.07131","1.17948"
"1.30000","1.27956","0.04676","0.03999","0.00779","0.04676","1.27956"
"1.40000","1.37955","0.11273","0.04311","0.01879","0.11273","1.37955"
"1.50000","1.47956","0.15068","0.04624","0.02511","0.15068","1.47956"
"1.60000","1.57951","0.15375","0.04936","0.02563","0.15375","1.57951"
"1.70000","1.67953","0.14428","0.05249","0.02405","0.14428","1.67953"
"1.80000","1.77970","0.19665","0.05562","0.03278","0.19665","1.77970"
"1.90000","1.87956","0.11763","0.05874","0.01960","0.11763","1.87956"
"2.00000","1.97948","0.11242","0.06186","0.01874","0.11242","1.97948"
"2.10000","2.07958","0.19646","0.06499","0.03274","0.19646","2.07958"
"2.20000","2.17964","0.12383","0.06811","0.02064","0.12383","2.17964"
"2.30000","2.27955","0.17653","0.07124","0.02942","0.17653","2.27955"
"2.40000","2.37946","0.21784","0.07436","0.03631","0.21784","2.37946"
"2.50000","2.47957","0.13368","0.07749","0.02228","0.13368","2.47957"
"2.60000","2.57967","0.18673","0.08061","0.03112","0.18673","2.57967"
"2.70000","2.67956","0.18689","0.08374","0.03115","0.18689","2.67956"
"2.80000","2.77950","0.23194","0.08686","0.03866","0.23194","2.77950"
"2.90000","2.87957","0.19808","0.08999","0.03301","0.19808","2.87957"
"3.00000","2.97965","0.19819","0.09311","0.03303","0.19819","2.97965"
"3.10000","3.07954","0.24982","0.09624","0.04164","0.24982","3.07954"
"3.20000","3.17951","0.20523","0.09936","0.03421","0.20523","3.17951"
"3.30000","3.27957","0.21357","0.10249","0.03559","0.21357","3.27957"
"3.40000","3.37961","0.28475","0.10561","0.04746","0.28475","3.37961"
"3.50000","3.47956","0.25702","0.10874","0.04284","0.25702","3.47956"
"3.60000","3.57953","0.31136","0.11186","0.05189","0.31136","3.57953"
"3.70000","3.67954","0.29101","0.11499","0.04850","0.29101","3.67954"
"3.80000","3.77961","0.23339","0.11811","0.03890","0.23339","3.77961"
"3.90000","3.87954","0.29317","0.12124","0.04886","0.29317","3.87954"
"4.00000","3.97947","0.27906","0.12436","0.04651","0.27906","3.97947"
"4.10000","4.07950","0.30429","0.12748","0.05072","0.30429","4.07950"
"4.20000","4.17968","0.27823","0.13062","0.04637","0.27823","4.17968"
"4.30000","4.27959","0.23568","0.13374","0.03928","0.23568","4.27959"
"4.40000","4.37949","0.30106","0.13686","0.05018","0.30106","4.37949"
"4.50000","4.47958","0.26866","0.13999","0.04478","0.26866","4.47958"
"4.60000","4.57963","0.33347","0.14311","0.05558","0.33347","4.57963"
"4.70000","4.67959","0.30648","0.14624","0.05108","0.30648","4.67959"
"4.80000","4.77943","0.30444","0.14936","0.05074","0.30444","4.77943"
"4.90000","4.87958","0.32132","0.15249","0.05355","0.32132","4.87958"
"5.00000","4.97965","0.41340","0.15561","0.06890","0.41340","4.97965"
"5.10000","5.07952","0.30349","0.15874","0.05058","0.30349","5.07952"
"5.20000","5.17950","0.27605","0.16186","0.04601","0.27605","5.17950"
"5.30000","5.27957","0.36467","0.16499","0.06078","0.36467","5.27957"
"5.40000","5.37971","0.32094","0.16812","0.05349","0.32094","5.37971"
"5.50000","5.47959","0.41501","0.17124","0.06917","0.41501","5.47959"
"5.60000","5.57949","0.32988","0.17436","0.05498","0.32988","5.57949"
"5.70000","5.67950","0.35779","0.17748","0.05963","0.35779","5.67950"
"5.80000","5.77957","0.32803","0.18061","0.05467","0.32803","5.77957"
"5.90000","5.87957","0.36635","0.18374","0.06106","0.36635","5.87957"
"6.00000","5.97951","0.42269","0.18686","0.07045","0.42269","5.97951"
"6.10000","6.07954","0.36464","0.18999","0.06077","0.36464","6.07954"
"6.20000","6.17962","0.39261","0.19311","0.06543","0.39261","6.17962"
"6.30000","6.27957","0.44402","0.19624","0.07400","0.44402","6.27957"
"6.40000","6.37943","0.39367","0.19936","0.06561","0.39367","6.37943"
"6.50000","6.47952","0.44134","0.20249","0.07356","0.44134","6.47952"
"6.60000","6.57964","0.41877","0.20561","0.06980","0.41877","6.57964"
"6.70000","6.67956","0.40193","0.20874","0.06699","0.40193","6.67956"
"6.80000","6.77948","0.52043","0.21186","0.08674","0.52043","6.77948"
"6.90000","6.87952","0.40194","0.21499","0.06699","0.40194","6.87952"
"7.00000","6.97966","0.39306","0.21811","0.06551","0.39306","6.97966"
"7.10000","7.07952","0.48183","0.22123","0.08031","0.48183","7.07952"
"7.20000","7.17942","0.42140","0.22436","0.07023","0.42140","7.17942"
"7.30000","7.27955","0.47547","0.22749","0.07925","0.47547","7.27955"
"7.40000","7.37963","0.41618","0.23061","0.06936","0.41618","7.37963"
"7.50000","7.47957","0.47303","0.23374","0.07884","0.47303","7.47957"
"7.60000","7.57949","0.52017","0.23686","0.08670","0.52017","7.57949"
"7.70000","7.67955","0.51622","0.23999","0.08604","0.51622","7.67955"
"7.80000","7.77961","0.48870","0.24311","0.08145","0.48870","7.77961"
"7.90000","7.87956","0.55458","0.24624","0.09243","0.55458","7.87956"
"8.00000","7.97948","0.48456","0.24936","0.08076","0.48456","7.97948"
"8.10000","8.07949","0.52960","0.25248","0.08827","0.52960","8.07949"
"8.20000","8.17962","0.53876","0.25561","0.08979","0.53876","8.17962"
"8.30000","8.27956","0.48037","0.25874","0.08006","0.48037","8.27956"
"8.40000","8.37944","0.53776","0.26186","0.08963","0.53776","8.37944"
"8.50000","8.47946","0.49162","0.26498","0.08194","0.49162","8.47946"
"8.60000","8.57959","0.48353","0.26811","0.08059","0.48353","8.57959"
"8.70000","8.67953","0.54465","0.27124","0.09078","0.54465","8.67953"
"8.80000","8.77941","0.51221","0.27436","0.08537","0.51221","8.77941"
"8.90000","8.87948","0.51771","0.27748","0.08628","0.51771","8.87948"
"9.00000","8.97961","0.55164","0.28061","0.09194","0.55164","8.97961"
"9.10000","9.07952","0.55303","0.28373","0.09217","0.55303","9.07952"
"9.20000","9.17941","0.53260","0.28686","0.08877","0.53260","9.17941"
"9.30000","9.27946","0.53522","0.28998","0.08920","0.53522","9.27946"
"9.40000","9.37955","0.56334","0.29311","0.09389","0.56334","9.37955"
"9.50000","9.47952","0.51334","0.29624","0.08556","0.51334","9.47952"
"9.60000","9.57938","0.60123","0.29936","0.10021","0.60123","9.57938"
"9.70000","9.67949","0.57911","0.30248","0.09652","0.57911","9.67949"
"9.80000","9.77959","0.55074","0.30561","0.09179","0.55074","9.77959"
"9.90000","9.87951","0.60447","0.30873","0.10075","0.60447","9.87951"
"10.00000","9.97943","0.59068","0.31186","0.09845","0.59068","9.97943"
"10.10000","10.07948","0.53362","0.31498","0.08894","0.53362","10.07948"
"10.20000","10.17953","0.60486","0.31811","0.10081","0.60486","10.17953"
"10.30000","10.27955","0.64814","0.32124","0.10802","0.64814","10.27955"
"10.40000","10.37943","0.63693","0.32436","0.10616","0.63693","10.37943"
"10.50000","10.47943","0.60855","0.32748","0.10143","0.60855","10.47943"
"10.60000","10.57953","0.65264","0.33061","0.10877","0.65264","10.57953"
"10.70000","10.67951","0.61112","0.33373","0.10185","0.61112","10.67951"
"10.80000","10.77941","0.58025","0.33686","0.09671","0.58025","10.77941"
"10.90000","10.87940","0.61619","0.33998","0.10270","0.61619","10.87940"
"11.00000","10.97957","0.64177","0.34311","0.10696","0.64177","10.97957"
"11.10000","11.07954","0.64891","0.34624","0.10815","0.64891","11.07954"
"11.20000","11.17934","0.61224","0.34935","0.10204","0.61224","11.17934"
"11.30000","11.27943","0.63913","0.35248","0.10652","0.63913","11.27943"
"11.40000","11.37955","0.66261","0.35561","0.11044","0.66261","11.37955"
"11.50000","11.47953","0.68043","0.35874","0.11341","0.68043","11.47953"
"11.60000","11.57943","0.65582","0.36186","0.10930","0.65582","11.57943"
"11.70000","11.67942","0.60621","0.36498","0.10104","0.60621","11.67942"
"11.80000","11.77949","0.67041","0.36811","0.11173","0.67041","11.77949"
"11.90000","11.87948","0.67385","0.37123","0.11231","0.67385","11.87948"
"12.00000","11.97936","0.60144","0.37436","0.10024","0.60144","11.97936"
"12.10000","12.07940","0.71958","0.37748","0.11993","0.71958","12.07940"
"12.20000","12.17954","0.65009","0.38061","0.10835","0.65009","12.17954"
"12.30000","12.27952","0.74417","0.38373","0.12403","0.74417","12.27952"
"12.40000","12.37939","0.76677","0.38686","0.12780","0.76677","12.37939"
"12.50000","12.47943","0.71294","0.38998","0.11882","0.71294","12.47943"
"12.60000","12.57947","0.83333","0.39311","0.13889","0.83333","12.57947"
"12.70000","12.67951","0.73409","0.39623","0.12235","0.73409","12.67951"
"12.80000","12.77940","0.72759","0.39936","0.12127","0.72759","12.77940"
"12.90000","12.87938","0.74507","0.40248","0.12418","0.74507","12.87938"
"13.00000","12.97955","0.72309","0.40561","0.12051","0.72309","12.97955"
"13.10000","13.07954","0.77780","0.40874","0.12963","0.77780","13.07954"
"13.20000","13.17937","0.73472","0.41186","0.12245","0.73472","13.17937"
"13.30000","13.27939","0.77337","0.41498","0.12889","0.77337","13.27939"
"13.40000","13.37951","0.82707","0.41811","0.13784","0.82707","13.37951"
"13.50000","13.47948","0.76668","0.42123","0.12778","0.76668","13.47948"
"13.60000","13.57932","0.77269","0.42435","0.12878","0.77269","13.57932"
"13.70000","13.67942","0.80720","0.42748","0.13453","0.80720","13.67942"
"13.80000","13.77953","0.77709","0.43061","0.12951","0.77709","13.77953"
"13.90000","13.87953","0.77592","0.43374","0.12932","0.77592","13.87953"
"14.00000","13.97938","0.77023","0.43686","0.12837","0.77023","13.97938"
"14.10000","14.07936","0.76826","0.43998","0.12804","0.76826","14.07936"
"14.20000","14.17947","0.85968","0.44311","0.14328","0.85968","14.17947"
"14.30000","14.27945","0.80506","0.44623","0.13418","0.80506","14.27945"
"14.40000","14.37935","0.82092","0.44935","0.13682","0.82092","14.37935"
"14.50000","14.47940","0.87936","0.45248","0.14656","0.87936","14.47940"
"14.60000","14.57949","0.82407","0.45561","0.13734","0.82407","14.57949"
"14.70000","14.67950","0.89453","0.45873","0.14909","0.89453","14.67950"
