Tenacity at Break (Standard),"0.25506",N/tex
Tensile extension at Break (Standard),"108.94954",mm
Tenacity at Yield ,,N/tex

Time,Extension,Load,Tensile strain (Extension),Tensile stress,Tenacity,Tensile extension
(s),(mm),(N),(mm/mm),(MPa),(N/tex),(mm)
"0.00000","0.00000","-0.00565","0.00000","-0.00094","-0.00565","0.00000"
"0.10000","0.06879","0.01144","0.00215","0.00191","0.01144","0.06879"
"0.20000","0.17917","0.02853","0.00560","0.00475","0.02853","0.17917"
"0.30000","0.27938","-0.02309","0.00873","-0.00385","-0.02309","0.27938"
"0.40000","0.37952","-0.02285","0.01186","-0.00381","-0.02285","0.37952"
"0.50000","0.47963","0.05769","0.01499","0.00961","0.05769","0.47963"
"0.60000","0.57951","0.00701","0.01811","0.00117","0.00701","0.57951"
"0.70000","0.67943","0.04673","0.02123","0.00779","0.04673","0.67943"
"0.80000","0.77945","0.01883","0.02436","0.00314","0.01883","0.77945"
"0.90000","0.87958","0.10389","0.02749","0.01732","0.10389","0.87958"
"1.00000","0.97951","0.04399","0.03061","0.00733","0.04399","0.97951"
"1.10000","1.07939","0.08359","0.03373","0.01393","0.08359","1.07939"
"1.20000","1.17948","0.03571","0.03686","0.00595","0.03571","1.17948"
"1.30000","1.27956","0.06175","0.03999","0.01029","0.06175","1.27956"
"1.40000","1.37948","0.07116","0.04311","0.01186","0.07116","1.37948"
"1.50000","1.47942","0.12356","0.04623","0.02059","0.12356","1.47942"
"1.60000","1.57952","0.09481","0.04936","0.01580","0.09481","1.57952"
"1.70000","1.67953","0.12144","0.05249","0.02024","0.12144","1.67953"
"1.80000","1.77955","0.14229","0.05561","0.02372","0.14229","1.77955"
"1.90000","1.87941","0.09909","0.05873","0.01651","0.09909","1.87941"
"2.00000","1.97943","0.12041","0.06186","0.02007","0.12041","1.97943"
"2.10000","2.07952","0.10756","0.06499","0.01793","0.10756","2.07952"
"2.20000","2.17953","0.17886","0.06811","0.02981","0.17886","2.17953"
"2.30000","2.27941","0.10946","0.07123","0.01824","0.10946","2.27941"
"2.40000","2.37938","0.15172","0.07436","0.02529","0.15172","2.37938"
"2.50000","2.47952","0.13703","0.07749","0.02284","0.13703","2.47952"
"2.60000","2.57952","0.10216","0.08061","0.01703","0.10216","2.57952"
"2.70000","2.67936","0.23184","0.08373","0.03864","0.23184","2.67936"
"2.80000","2.77942","0.20558","0.08686","0.03426","0.20558","2.77942"
"2.90000","2.87957","0.16442","0.08999","0.02740","0.16442","2.87957"
"3.00000","2.97951","0.13144","0.09311","0.02191","0.13144","2.97951"
"3.10000","3.07937","0.14754","0.09623","0.02459","0.14754","3.07937"
"3.20000","3.17941","0.19861","0.09936","0.03310","0.19861","3.17941"
"3.30000","3.27949","0.16807","0.10248","0.02801","0.16807","3.27949"
"3.40000","3.37947","0.20960","0.10561","0.03493","0.20960","3.37947"
"3.50000","3.47934","0.24043","0.10873","0.04007","0.24043","3.47934"
"3.60000","3.57944","0.21168","0.11186","0.03528","0.21168","3.57944"
"3.70000","3.67953","0.22417","0.11499","0.03736","0.22417","3.67953"
"3.80000","3.77950","0.27444","0.11811","0.04574","0.27444","3.77950"
"3.90000","3.87940","0.22794","0.12123","0.03799","0.22794","3.87940"
"4.00000","3.97940","0.24553","0.12436","0.04092","0.24553","3.97940"
"4.10000","4.07948","0.23076","0.12748","0.03846","0.23076","4.07948"
"4.20000","4.17949","0.22764","0.13061","0.03794","0.22764","4.17949"
"4.30000","4.27940","0.28878","0.13373","0.04813","0.28878","4.27940"
"4.40000","4.37938","0.27734","0.13686","0.04622","0.27734","4.37938"
"4.50000","4.47956","0.23230","0.13999","0.03872","0.23230","4.47956"
"4.60000","4.57956","0.21602","0.14311","0.03600","0.21602","4.57956"
"4.70000","4.67941","0.21180","0.14623","0.03530","0.21180","4.67941"
"4.80000","4.77934","0.26776","0.14935","0.04463","0.26776","4.77934"
"4.90000","4.87954","0.32789","0.15249","0.05465","0.32789","4.87954"
"5.00000","4.97949","0.26618","0.15561","0.04436","0.26618","4.97949"
"5.10000","5.07932","0.28790","0.15873","0.04798","0.28790","5.07932"
"5.20000","5.17941","0.27704","0.16186","0.04617","0.27704","5.17941"
"5.30000","5.27952","0.25404","0.16499","0.04234","0.25404","5.27952"
"5.40000","5.37953","0.33278","0.16811","0.05546","0.33278","5.37953"
"5.50000","5.47938","0.32444","0.17123","0.05407","0.32444","5.47938"
"5.60000","5.57938","0.30758","0.17436","0.05126","0.30758","5.57938"
"5.70000","5.67947","0.29643","0.17748","0.04940","0.29643","5.67947"
"5.80000","5.77944","0.34192","0.18061","0.05699","0.34192","5.77944"
"5.90000","5.87939","0.29867","0.18373","0.04978","0.29867","5.87939"
"6.00000","5.97938","0.29243","0.18686","0.04874","0.29243","5.97938"
"6.10000","6.07950","0.31810","0.18998","0.05302","0.31810","6.07950"
"6.20000","6.17948","0.32197","0.19311","0.05366","0.32197","6.17948"
