Tenacity at Break (Standard),"0.22267",N/tex
Tensile extension at Break (Standard),"70.45257",mm
Tenacity at Yield ,,N/tex

Time,Extension,Load,Tensile strain (Extension),Tensile stress,Tenacity,Tensile extension
(s),(mm),(N),(mm/mm),(MPa),(N/tex),(mm)
"8.20000","8.17961","0.66603","0.25561","0.09250","0.66603","8.17961"
"8.30000","8.27957","0.73576","0.25874","0.10219","0.73576","8.27957"
"8.40000","8.37948","0.63627","0.26186","0.08837","0.63627","8.37948"
"8.50000","8.47948","0.72099","0.26498","0.10014","0.72099","8.47948"
"8.60000","8.57957","0.74989","0.26811","0.10415","0.74989","8.57957"
"8.70000","8.67956","0.68895","0.27124","0.09569","0.68895","8.67956"
"8.80000","8.77944","0.71253","0.27436","0.09896","0.71253","8.77944"
"8.90000","8.87947","0.74411","0.27748","0.10335","0.74411","8.87947"
"9.00000","8.97963","0.71781","0.28061","0.09970","0.71781","8.97963"
"9.10000","9.07955","0.73080","0.28374","0.10150","0.73080","9.07955"
"9.20000","9.17941","0.73783","0.28686","0.10248","0.73783","9.17941"
"9.30000","9.27950","0.79249","0.28998","0.11007","0.79249","9.27950"
"9.40000","9.37963","0.74347","0.29311","0.10326","0.74347","9.37963"
"9.50000","9.47955","0.73596","0.29624","0.10222","0.73596","9.47955"
"9.60000","9.57942","0.68140","0.29936","0.09464","0.68140","9.57942"
"9.70000","9.67950","0.72078","0.30248","0.10011","0.72078","9.67950"
"9.80000","9.77954","0.77362","0.30561","0.10745","0.77362","9.77954"
"9.90000","9.87950","0.82025","0.30873","0.11392","0.82025","9.87950"
"10.00000","9.97943","0.82832","0.31186","0.11505","0.82832","9.97943"
"10.10000","10.07945","0.80274","0.31498","0.11149","0.80274","10.07945"
"10.20000","10.17961","0.81492","0.31811","0.11318","0.81492","10.17961"
"10.30000","10.27953","0.81670","0.32124","0.11343","0.81670","10.27953"
"10.40000","10.37944","0.84766","0.32436","0.11773","0.84766","10.37944"
"10.50000","10.47949","0.80714","0.32748","0.11210","0.80714","10.47949"
"10.60000","10.57953","0.85601","0.33061","0.11889","0.85601","10.57953"
"10.70000","10.67952","0.82070","0.33374","0.11399","0.82070","10.67952"
"10.80000","10.77940","0.86782","0.33686","0.12053","0.86782","10.77940"
"10.90000","10.87941","0.88987","0.33998","0.12359","0.88987","10.87941"
"11.00000","10.97959","0.87933","0.34311","0.12213","0.87933","10.97959"
"11.10000","11.07958","0.83814","0.34624","0.11641","0.83814","11.07958"
"11.20000","11.17941","0.87750","0.34936","0.12187","0.87750","11.17941"
"11.30000","11.27944","0.91472","0.35248","0.12704","0.91472","11.27944"
"11.40000","11.37959","0.92774","0.35561","0.12885","0.92774","11.37959"
"11.50000","11.47944","0.94423","0.35873","0.13114","0.94423","11.47944"
"11.60000","11.57936","0.92480","0.36185","0.12844","0.92480","11.57936"
"11.70000","11.67948","0.93191","0.36498","0.12943","0.93191","11.67948"
"11.80000","11.77955","0.91579","0.36811","0.12719","0.91579","11.77955"
"11.90000","11.87955","0.96214","0.37124","0.13363","0.96214","11.87955"
"12.00000","11.97938","1.00758","0.37436","0.13994","1.00758","11.97938"
"12.10000","12.07943","0.94991","0.37748","0.13193","0.94991","12.07943"
"12.20000","12.17952","1.00495","0.38061","0.13958","1.00495","12.17952"
"12.30000","12.27946","0.92786","0.38373","0.12887","0.92786","12.27946"
"12.40000","12.37942","0.96591","0.38686","0.13415","0.96591","12.37942"
"12.50000","12.47941","0.96370","0.38998","0.13385","0.96370","12.47941"
"12.60000","12.57954","0.92984","0.39311","0.12914","0.92984","12.57954"
"12.70000","12.67950","0.96386","0.39623","0.13387","0.96386","12.67950"
"12.80000","12.77942","0.96945","0.39936","0.13465","0.96945","12.77942"
"12.90000","12.87945","0.95559","0.40248","0.13272","0.95559","12.87945"
