Tenacity at Break (Standard),"0.23566",N/tex
Tensile extension at Break (Standard),"74.01347",mm
Tenacity at Yield ,,N/tex

Time,Extension,Load,Tensile strain (Extension),Tensile stress,Tenacity,Tensile extension
(s),(mm),(N),(mm/mm),(MPa),(N/tex),(mm)
"8.20000","8.17947","0.36985","0.25561","0.06164","0.36985","8.17947"
"8.30000","8.27963","0.29730","0.25874","0.04955","0.29730","8.27963"
"8.40000","8.37958","0.33359","0.26186","0.05560","0.33359","8.37958"
"8.50000","8.47942","0.35271","0.26498","0.05879","0.35271","8.47942"
"8.60000","8.57947","0.33494","0.26811","0.05582","0.33494","8.57947"
"8.70000","8.67960","0.37156","0.27124","0.06193","0.37156","8.67960"
"8.80000","8.77956","0.33017","0.27436","0.05503","0.33017","8.77956"
"8.90000","8.87942","0.28070","0.27748","0.04678","0.28070","8.87942"
"9.00000","8.97947","0.32042","0.28061","0.05340","0.32042","8.97947"
"9.10000","9.07959","0.42555","0.28374","0.07093","0.42555","9.07959"
"9.20000","9.17945","0.35115","0.28686","0.05853","0.35115","9.17945"
"9.30000","9.27944","0.40375","0.28998","0.06729","0.40375","9.27944"
"9.40000","9.37952","0.47887","0.29311","0.07981","0.47887","9.37952"
"9.50000","9.47957","0.39692","0.29624","0.06615","0.39692","9.47957"
"9.60000","9.57948","0.39535","0.29936","0.06589","0.39535","9.57948"
"9.70000","9.67942","0.45748","0.30248","0.07625","0.45748","9.67942"
"9.80000","9.77941","0.36756","0.30561","0.06126","0.36756","9.77941"
"9.90000","9.87953","0.44592","0.30874","0.07432","0.44592","9.87953"
"10.00000","9.97949","0.42176","0.31186","0.07029","0.42176","9.97949"
"10.10000","10.07940","0.39167","0.31498","0.06528","0.39167","10.07940"
"10.20000","10.17945","0.43553","0.31811","0.07259","0.43553","10.17945"
"10.30000","10.27957","0.37360","0.32124","0.06227","0.37360","10.27957"
"10.40000","10.37958","0.43072","0.32436","0.07179","0.43072","10.37958"
"10.50000","10.47941","0.39947","0.32748","0.06658","0.39947","10.47941"
"10.60000","10.57941","0.41430","0.33061","0.06905","0.41430","10.57941"
"10.70000","10.67955","0.42615","0.33374","0.07103","0.42615","10.67955"
"10.80000","10.77952","0.45828","0.33686","0.07638","0.45828","10.77952"
"10.90000","10.87937","0.47766","0.33998","0.07961","0.47766","10.87937"
"11.00000","10.97943","0.44852","0.34311","0.07475","0.44852","10.97943"
"11.10000","11.07956","0.48017","0.34624","0.08003","0.48017","11.07956"
"11.20000","11.17951","0.50203","0.34936","0.08367","0.50203","11.17951"
"11.30000","11.27938","0.47468","0.35248","0.07911","0.47468","11.27938"
"11.40000","11.37943","0.50613","0.35561","0.08435","0.50613","11.37943"
"11.50000","11.47953","0.51983","0.35874","0.08664","0.51983","11.47953"
"11.60000","11.57949","0.45112","0.36186","0.07519","0.45112","11.57949"
"11.70000","11.67940","0.46767","0.36498","0.07794","0.46767","11.67940"
"11.80000","11.77946","0.45498","0.36811","0.07583","0.45498","11.77946"
"11.90000","11.87951","0.52128","0.37123","0.08688","0.52128","11.87951"
"12.00000","11.97948","0.48665","0.37436","0.08111","0.48665","11.97948"
"12.10000","12.07940","0.52197","0.37748","0.08699","0.52197","12.07940"
"12.20000","12.17939","0.54925","0.38061","0.09154","0.54925","12.17939"
"12.30000","12.27948","0.49845","0.38373","0.08307","0.49845","12.27948"
"12.40000","12.37950","0.57041","0.38686","0.09507","0.57041","12.37950"
"12.50000","12.47940","0.46591","0.38998","0.07765","0.46591","12.47940"
"12.60000","12.57939","0.51042","0.39311","0.08507","0.51042","12.57939"
"12.70000","12.67952","0.51187","0.39623","0.08531","0.51187","12.67952"
"12.80000","12.77952","0.53729","0.39936","0.08955","0.53729","12.77952"
"12.90000","12.87931","0.54839","0.40248","0.09140","0.54839","12.87931"
"13.00000","12.97938","0.48519","0.40561","0.08086","0.48519","12.97938"
"13.10000","13.07953","0.53547","0.40874","0.08925","0.53547","13.07953"
"13.20000","13.17950","0.52874","0.41186","0.08812","0.52874","13.17950"
"13.30000","13.27933","0.56172","0.41498","0.09362","0.56172","13.27933"
"13.40000","13.37939","0.55141","0.41811","0.09190","0.55141","13.37939"
"13.50000","13.47953","0.52021","0.42124","0.08670","0.52021","13.47953"
"13.60000","13.57947","0.51234","0.42436","0.08539","0.51234","13.57947"
"13.70000","13.67937","0.50548","0.42748","0.08425","0.50548","13.67937"
"13.80000","13.77941","0.54522","0.43061","0.09087","0.54522","13.77941"
"13.90000","13.87950","0.54830","0.43373","0.09138","0.54830","13.87950"
"14.00000","13.97950","0.51007","0.43686","0.08501","0.51007","13.97950"
"14.10000","14.07942","0.54660","0.43998","0.09110","0.54660","14.07942"
"14.20000","14.17940","0.53890","0.44311","0.08982","0.53890","14.17940"
"14.30000","14.27951","0.54375","0.44623","0.09063","0.54375","14.27951"
"14.40000","14.37949","0.53628","0.44936","0.08938","0.53628","14.37949"
"14.50000","14.47940","0.55256","0.45248","0.09209","0.55256","14.47940"
"14.60000","14.57935","0.61255","0.45560","0.10209","0.61255","14.57935"
"14.70000","14.67944","0.54850","0.45873","0.09142","0.54850","14.67944"
"14.80000","14.77953","0.57250","0.46186","0.09542","0.57250","14.77953"
"14.90000","14.87938","0.63213","0.46498","0.10535","0.63213","14.87938"
"15.00000","14.97935","0.56194","0.46810","0.09366","0.56194","14.97935"
"15.10000","15.07949","0.62669","0.47123","0.10445","0.62669","15.07949"
"15.20000","15.17950","0.60275","0.47436","0.10046","0.60275","15.17950"
"15.30000","15.27937","0.57068","0.47748","0.09511","0.57068","15.27937"
"15.40000","15.37938","0.62622","0.48061","0.10437","0.62622","15.37938"
"15.50000","15.47952","0.58031","0.48374","0.09672","0.58031","15.47952"
"15.60000","15.57950","0.60979","0.48686","0.10163","0.60979","15.57950"
"15.70000","15.67934","0.52446","0.48998","0.08741","0.52446","15.67934"
"15.80000","15.77941","0.59538","0.49311","0.09923","0.59538","15.77941"
"15.90000","15.87955","0.65236","0.49624","0.10873","0.65236","15.87955"
"16.00000","15.97947","0.59977","0.49936","0.09996","0.59977","15.97947"
"16.10000","16.07940","0.65546","0.50248","0.10924","0.65546","16.07940"
"16.20000","16.17939","0.58982","0.50561","0.09830","0.58982","16.17939"
"16.30000","16.27945","0.63391","0.50873","0.10565","0.63391","16.27945"
"16.40000","16.37949","0.69638","0.51186","0.11606","0.69638","16.37949"
"16.50000","16.47936","0.64049","0.51498","0.10675","0.64049","16.47936"
"16.60000","16.57938","0.62606","0.51811","0.10434","0.62606","16.57938"
"16.70000","16.67952","0.57203","0.52124","0.09534","0.57203","16.67952"
"16.80000","16.77951","0.70790","0.52436","0.11798","0.70790","16.77951"
"16.90000","16.87941","0.65606","0.52748","0.10934","0.65606","16.87941"
"17.00000","16.97935","0.64181","0.53060","0.10697","0.64181","16.97935"
"17.10000","17.07943","0.67743","0.53373","0.11290","0.67743","17.07943"
"17.20000","17.17954","0.60441","0.53686","0.10073","0.60441","17.17954"
"17.30000","17.27942","0.73665","0.53998","0.12277","0.73665","17.27942"
"17.40000","17.37942","0.66196","0.54311","0.11033","0.66196","17.37942"
"17.50000","17.47952","0.60189","0.54624","0.10032","0.60189","17.47952"
"17.60000","17.57955","0.66404","0.54936","0.11067","0.66404","17.57955"
"17.70000","17.67941","0.66803","0.55248","0.11134","0.66803","17.67941"
"17.80000","17.77940","0.66388","0.55561","0.11065","0.66388","17.77940"
"17.90000","17.87952","0.70026","0.55873","0.11671","0.70026","17.87952"
"18.00000","17.97950","0.71281","0.56186","0.11880","0.71281","17.97950"
"18.10000","18.07938","0.64907","0.56498","0.10818","0.64907","18.07938"
"18.20000","18.17941","0.73531","0.56811","0.12255","0.73531","18.17941"
"18.30000","18.27955","0.70356","0.57124","0.11726","0.70356","18.27955"
"18.40000","18.37952","0.73359","0.57436","0.12227","0.73359","18.37952"
"18.50000","18.47941","0.64513","0.57748","0.10752","0.64513","18.47941"
"18.60000","18.57942","0.73659","0.58061","0.12277","0.73659","18.57942"
"18.70000","18.67948","0.65363","0.58373","0.10894","0.65363","18.67948"
"18.80000","18.77955","0.74079","0.58686","0.12347","0.74079","18.77955"
"18.90000","18.87945","0.75720","0.58998","0.12620","0.75720","18.87945"
"19.00000","18.97939","0.72273","0.59311","0.12046","0.72273","18.97939"
"19.10000","19.07951","0.72819","0.59623","0.12137","0.72819","19.07951"
"19.20000","19.17955","0.74422","0.59936","0.12404","0.74422","19.17955"
"19.30000","19.27945","0.74701","0.60248","0.12450","0.74701","19.27945"
"19.40000","19.37942","0.68928","0.60561","0.11488","0.68928","19.37942"
"19.50000","19.47949","0.76312","0.60873","0.12719","0.76312","19.47949"
"19.60000","19.57958","0.79120","0.61186","0.13187","0.79120","19.57958"
"19.70000","19.67941","0.69232","0.61498","0.11539","0.69232","19.67941"
"19.80000","19.77942","0.77813","0.61811","0.12969","0.77813","19.77942"
"19.90000","19.87953","0.71491","0.62124","0.11915","0.71491","19.87953"
