Tenacity at Break (Standard),"0.24298",N/tex
Tensile extension at Break (Standard),"112.57944",mm
Tenacity at Yield ,,N/tex

Time,Extension,Load,Tensile strain (Extension),Tensile stress,Tenacity,Tensile extension
(s),(mm),(N),(mm/mm),(MPa),(N/tex),(mm)
"0.00000","0.00000","-0.10679","0.00000","-0.01780","-0.10679","0.00000"
"0.10000","0.06844","-0.05963","0.00214","-0.00994","-0.05963","0.06844"
"0.20000","0.17916","0.01804","0.00560","0.00301","0.01804","0.17916"
"0.30000","0.27943","0.01649","0.00873","0.00275","0.01649","0.27943"
"0.40000","0.37945","0.01789","0.01186","0.00298","0.01789","0.37945"
"0.50000","0.47953","-0.01730","0.01499","-0.00288","-0.01730","0.47953"
"0.60000","0.57950","0.05080","0.01811","0.00847","0.05080","0.57950"
"0.70000","0.67936","0.09218","0.02123","0.01536","0.09218","0.67936"
"0.80000","0.77940","0.02630","0.02436","0.00438","0.02630","0.77940"
"0.90000","0.87951","0.10766","0.02748","0.01794","0.10766","0.87951"
"1.00000","0.97952","0.07458","0.03061","0.01243","0.07458","0.97952"
"1.10000","1.07940","0.12972","0.03373","0.02162","0.12972","1.07940"
"1.20000","1.17943","0.02230","0.03686","0.00372","0.02230","1.17943"
"1.30000","1.27953","0.07288","0.03999","0.01215","0.07288","1.27953"
"1.40000","1.37952","0.04236","0.04311","0.00706","0.04236","1.37952"
"1.50000","1.47943","0.13946","0.04623","0.02324","0.13946","1.47943"
"1.60000","1.57942","0.11093","0.04936","0.01849","0.11093","1.57942"
"1.70000","1.67950","0.01108","0.05248","0.00185","0.01108","1.67950"
"1.80000","1.77959","0.04465","0.05561","0.00744","0.04465","1.77959"
"1.90000","1.87948","0.14953","0.05873","0.02492","0.14953","1.87948"
"2.00000","1.97941","0.06154","0.06186","0.01026","0.06154","1.97941"
"2.10000","2.07946","0.07161","0.06498","0.01193","0.07161","2.07946"
"2.20000","2.17956","0.11699","0.06811","0.01950","0.11699","2.17956"
"2.30000","2.27944","0.15072","0.07123","0.02512","0.15072","2.27944"
"2.40000","2.37942","0.11471","0.07436","0.01912","0.11471","2.37942"
"2.50000","2.47956","0.06878","0.07749","0.01146","0.06878","2.47956"
"2.60000","2.57959","0.11597","0.08061","0.01933","0.11597","2.57959"
"2.70000","2.67946","0.19292","0.08373","0.03215","0.19292","2.67946"
"2.80000","2.77942","0.14937","0.08686","0.02490","0.14937","2.77942"
"2.90000","2.87951","0.09369","0.08998","0.01561","0.09369","2.87951"
"3.00000","2.97956","0.14375","0.09311","0.02396","0.14375","2.97956"
"3.10000","3.07944","0.21539","0.09623","0.03590","0.21539","3.07944"
"3.20000","3.17945","0.20076","0.09936","0.03346","0.20076","3.17945"
"3.30000","3.27955","0.18894","0.10249","0.03149","0.18894","3.27955"
"3.40000","3.37959","0.15947","0.10561","0.02658","0.15947","3.37959"
"3.50000","3.47946","0.18286","0.10873","0.03048","0.18286","3.47946"
"3.60000","3.57947","0.16888","0.11186","0.02815","0.16888","3.57947"
"3.70000","3.67954","0.14603","0.11499","0.02434","0.14603","3.67954"
"3.80000","3.77960","0.17125","0.11811","0.02854","0.17125","3.77960"
"3.90000","3.87951","0.16675","0.12123","0.02779","0.16675","3.87951"
"4.00000","3.97944","0.20706","0.12436","0.03451","0.20706","3.97944"
"4.10000","4.07947","0.18509","0.12748","0.03085","0.18509","4.07947"
"4.20000","4.17960","0.16562","0.13061","0.02760","0.16562","4.17960"
"4.30000","4.27953","0.24555","0.13374","0.04093","0.24555","4.27953"
"4.40000","4.37945","0.19903","0.13686","0.03317","0.19903","4.37945"
"4.50000","4.47953","0.20886","0.13999","0.03481","0.20886","4.47953"
"4.60000","4.57963","0.23370","0.14311","0.03895","0.23370","4.57963"
"4.70000","4.67944","0.14512","0.14623","0.02419","0.14512","4.67944"
"4.80000","4.77943","0.31056","0.14936","0.05176","0.31056","4.77943"
"4.90000","4.87956","0.25692","0.15249","0.04282","0.25692","4.87956"
"5.00000","4.97963","0.23012","0.15561","0.03835","0.23012","4.97963"
"5.10000","5.07952","0.18976","0.15874","0.03163","0.18976","5.07952"
"5.20000","5.17948","0.28116","0.16186","0.04686","0.28116","5.17948"
"5.30000","5.27957","0.27423","0.16499","0.04571","0.27423","5.27957"
"5.40000","5.37960","0.21002","0.16811","0.03500","0.21002","5.37960"
"5.50000","5.47946","0.17450","0.17123","0.02908","0.17450","5.47946"
"5.60000","5.57950","0.26010","0.17436","0.04335","0.26010","5.57950"
"5.70000","5.67960","0.27974","0.17749","0.04662","0.27974","5.67960"
"5.80000","5.77966","0.20063","0.18061","0.03344","0.20063","5.77966"
"5.90000","5.87951","0.26023","0.18373","0.04337","0.26023","5.87951"
"6.00000","5.97950","0.23083","0.18686","0.03847","0.23083","5.97950"
"6.10000","6.07954","0.27319","0.18999","0.04553","0.27319","6.07954"
"6.20000","6.17965","0.22450","0.19311","0.03742","0.22450","6.17965"
"6.30000","6.27952","0.18987","0.19624","0.03165","0.18987","6.27952"
"6.40000","6.37942","0.28601","0.19936","0.04767","0.28601","6.37942"
"6.50000","6.47954","0.33334","0.20249","0.05556","0.33334","6.47954"
"6.60000","6.57967","0.25453","0.20561","0.04242","0.25453","6.57967"
"6.70000","6.67962","0.27265","0.20874","0.04544","0.27265","6.67962"
"6.80000","6.77947","0.31198","0.21186","0.05200","0.31198","6.77947"
"6.90000","6.87957","0.29679","0.21499","0.04946","0.29679","6.87957"
"7.00000","6.97968","0.31424","0.21811","0.05237","0.31424","6.97968"
"7.10000","7.07938","0.22835","0.22123","0.03806","0.22835","7.07938"
"7.20000","7.17943","0.32712","0.22436","0.05452","0.32712","7.17943"
"7.30000","7.27958","0.29544","0.22749","0.04924","0.29544","7.27958"
"7.40000","7.37966","0.31218","0.23061","0.05203","0.31218","7.37966"
"7.50000","7.47956","0.27864","0.23374","0.04644","0.27864","7.47956"
"7.60000","7.57948","0.36940","0.23686","0.06157","0.36940","7.57948"
"7.70000","7.67954","0.33410","0.23999","0.05568","0.33410","7.67954"
"7.80000","7.77961","0.25665","0.24311","0.04277","0.25665","7.77961"
"7.90000","7.87952","0.27033","0.24623","0.04505","0.27033","7.87952"
"8.00000","7.97953","0.26039","0.24936","0.04340","0.26039","7.97953"
"8.10000","8.07957","0.38952","0.25249","0.06492","0.38952","8.07957"
"8.20000","8.17965","0.30296","0.25561","0.05049","0.30296","8.17965"
"8.30000","8.27957","0.31657","0.25874","0.05276","0.31657","8.27957"
"8.40000","8.37949","0.32971","0.26186","0.05495","0.32971","8.37949"
"8.50000","8.47957","0.33990","0.26499","0.05665","0.33990","8.47957"
"8.60000","8.57967","0.39423","0.26811","0.06570","0.39423","8.57967"
"8.70000","8.67956","0.33810","0.27124","0.05635","0.33810","8.67956"
"8.80000","8.77947","0.32784","0.27436","0.05464","0.32784","8.77947"
"8.90000","8.87953","0.40887","0.27749","0.06815","0.40887","8.87953"
"9.00000","8.97964","0.41664","0.28061","0.06944","0.41664","8.97964"
"9.10000","9.07956","0.42451","0.28374","0.07075","0.42451","9.07956"
"9.20000","9.17946","0.29261","0.28686","0.04877","0.29261","9.17946"
"9.30000","9.27956","0.42777","0.28999","0.07129","0.42777","9.27956"
"9.40000","9.37967","0.41499","0.29311","0.06917","0.41499","9.37967"
"9.50000","9.47951","0.33770","0.29623","0.05628","0.33770","9.47951"
"9.60000","9.57946","0.39131","0.29936","0.06522","0.39131","9.57946"
"9.70000","9.67955","0.42019","0.30249","0.07003","0.42019","9.67955"
"9.80000","9.77966","0.40881","0.30561","0.06814","0.40881","9.77966"
"9.90000","9.87956","0.41332","0.30874","0.06889","0.41332","9.87956"
"10.00000","9.97948","0.38908","0.31186","0.06485","0.38908","9.97948"
"10.10000","10.07951","0.39641","0.31498","0.06607","0.39641","10.07951"
"10.20000","10.17961","0.41897","0.31811","0.06983","0.41897","10.17961"
"10.30000","10.27957","0.43900","0.32124","0.07317","0.43900","10.27957"
"10.40000","10.37949","0.40988","0.32436","0.06831","0.40988","10.37949"
"10.50000","10.47957","0.35667","0.32749","0.05944","0.35667","10.47957"
"10.60000","10.57963","0.49100","0.33061","0.08183","0.49100","10.57963"
"10.70000","10.67952","0.41980","0.33374","0.06997","0.41980","10.67952"
"10.80000","10.77947","0.39878","0.33686","0.06646","0.39878","10.77947"
"10.90000","10.87950","0.44801","0.33998","0.07467","0.44801","10.87950"
"11.00000","10.97965","0.44473","0.34311","0.07412","0.44473","10.97965"
"11.10000","11.07960","0.44976","0.34624","0.07496","0.44976","11.07960"
"11.20000","11.17950","0.41104","0.34936","0.06851","0.41104","11.17950"
"11.30000","11.27954","0.40270","0.35249","0.06712","0.40270","11.27954"
"11.40000","11.37965","0.48178","0.35561","0.08030","0.48178","11.37965"
