Tenacity at Break (Standard),"0.19481",N/tex
Tensile extension at Break (Standard),"76.52746",mm
Tenacity at Yield ,,N/tex

Time,Extension,Load,Tensile strain (Extension),Tensile stress,Tenacity,Tensile extension
(s),(mm),(N),(mm/mm),(MPa),(N/tex),(mm)
"0.00000","0.00000","0.01235","0.00000","0.00206","0.01235","0.00000"
"0.10000","0.06807","-0.00860","0.00213","-0.00143","-0.00860","0.06807"
"0.20000","0.17902","0.04142","0.00559","0.00690","0.04142","0.17902"
"0.30000","0.27958","0.02179","0.00874","0.00363","0.02179","0.27958"
"0.40000","0.37963","0.03156","0.01186","0.00526","0.03156","0.37963"
"0.50000","0.47956","0.00768","0.01499","0.00128","0.00768","0.47956"
"0.60000","0.57951","0.06310","0.01811","0.01052","0.06310","0.57951"
"0.70000","0.67959","0.07474","0.02124","0.01246","0.07474","0.67959"
"0.80000","0.77967","-0.00487","0.02436","-0.00081","-0.00487","0.77967"
"0.90000","0.87957","0.11197","0.02749","0.01866","0.11197","0.87957"
"1.00000","0.97948","0.02790","0.03061","0.00465","0.02790","0.97948"
"1.10000","1.07952","0.05903","0.03374","0.00984","0.05903","1.07952"
"1.20000","1.17959","0.07584","0.03686","0.01264","0.07584","1.17959"
"1.30000","1.27952","0.03322","0.03998","0.00554","0.03322","1.27952"
"1.40000","1.37948","0.09601","0.04311","0.01600","0.09601","1.37948"
"1.50000","1.47956","0.09890","0.04624","0.01648","0.09890","1.47956"
"1.60000","1.57967","0.07368","0.04936","0.01228","0.07368","1.57967"
"1.70000","1.67955","0.11592","0.05249","0.01932","0.11592","1.67955"
"1.80000","1.77945","0.10016","0.05561","0.01669","0.10016","1.77945"
"1.90000","1.87955","0.16919","0.05874","0.02820","0.16919","1.87955"
"2.00000","1.97966","0.13857","0.06186","0.02310","0.13857","1.97966"
"2.10000","2.07957","0.13544","0.06499","0.02257","0.13544","2.07957"
"2.20000","2.17949","0.08049","0.06811","0.01341","0.08049","2.17949"
"2.30000","2.27957","0.11683","0.07124","0.01947","0.11683","2.27957"
"2.40000","2.37965","0.11838","0.07436","0.01973","0.11838","2.37965"
"2.50000","2.47946","0.11183","0.07748","0.01864","0.11183","2.47946"
"2.60000","2.57950","0.09476","0.08061","0.01579","0.09476","2.57950"
"2.70000","2.67959","0.13920","0.08374","0.02320","0.13920","2.67959"
"2.80000","2.77964","0.16879","0.08686","0.02813","0.16879","2.77964"
"2.90000","2.87956","0.19152","0.08999","0.03192","0.19152","2.87956"
"3.00000","2.97950","0.14742","0.09311","0.02457","0.14742","2.97950"
"3.10000","3.07959","0.18139","0.09624","0.03023","0.18139","3.07959"
"3.20000","3.17964","0.19249","0.09936","0.03208","0.19249","3.17964"
"3.30000","3.27959","0.21272","0.10249","0.03545","0.21272","3.27959"
"3.40000","3.37953","0.22331","0.10561","0.03722","0.22331","3.37953"
"3.50000","3.47955","0.19853","0.10874","0.03309","0.19853","3.47955"
"3.60000","3.57964","0.27284","0.11186","0.04547","0.27284","3.57964"
"3.70000","3.67957","0.24166","0.11499","0.04028","0.24166","3.67957"
"3.80000","3.77948","0.23633","0.11811","0.03939","0.23633","3.77948"
"3.90000","3.87952","0.26924","0.12124","0.04487","0.26924","3.87952"
"4.00000","3.97968","0.18499","0.12436","0.03083","0.18499","3.97968"
"4.10000","4.07958","0.30051","0.12749","0.05009","0.30051","4.07958"
"4.20000","4.17946","0.26659","0.13061","0.04443","0.26659","4.17946"
"4.30000","4.27956","0.20021","0.13374","0.03337","0.20021","4.27956"
"4.40000","4.37966","0.26165","0.13686","0.04361","0.26165","4.37966"
"4.50000","4.47955","0.27933","0.13999","0.04656","0.27933","4.47955"
"4.60000","4.57947","0.31196","0.14311","0.05199","0.31196","4.57947"
"4.70000","4.67953","0.26592","0.14624","0.04432","0.26592","4.67953"
"4.80000","4.77959","0.23471","0.14936","0.03912","0.23471","4.77959"
"4.90000","4.87954","0.28471","0.15249","0.04745","0.28471","4.87954"
"5.00000","4.97948","0.31354","0.15561","0.05226","0.31354","4.97948"
"5.10000","5.07956","0.29490","0.15874","0.04915","0.29490","5.07956"
"5.20000","5.17964","0.27506","0.16186","0.04584","0.27506","5.17964"
"5.30000","5.27955","0.31917","0.16499","0.05320","0.31917","5.27955"
"5.40000","5.37950","0.28249","0.16811","0.04708","0.28249","5.37950"
"5.50000","5.47955","0.27613","0.17124","0.04602","0.27613","5.47955"
"5.60000","5.57960","0.25016","0.17436","0.04169","0.25016","5.57960"
"5.70000","5.67960","0.30819","0.17749","0.05137","0.30819","5.67960"
"5.80000","5.77949","0.34667","0.18061","0.05778","0.34667","5.77949"
"5.90000","5.87951","0.32984","0.18373","0.05497","0.32984","5.87951"
"6.00000","5.97963","0.40243","0.18686","0.06707","0.40243","5.97963"
"6.10000","6.07956","0.44635","0.18999","0.07439","0.44635","6.07956"
"6.20000","6.17947","0.37003","0.19311","0.06167","0.37003","6.17947"
"6.30000","6.27950","0.36587","0.19623","0.06098","0.36587","6.27950"
"6.40000","6.37966","0.32842","0.19936","0.05474","0.32842","6.37966"
"6.50000","6.47953","0.30910","0.20249","0.05152","0.30910","6.47953"
"6.60000","6.57944","0.40648","0.20561","0.06775","0.40648","6.57944"
"6.70000","6.67955","0.38562","0.20874","0.06427","0.38562","6.67955"
"6.80000","6.77964","0.34990","0.21186","0.05832","0.34990","6.77964"
"6.90000","6.87957","0.39930","0.21499","0.06655","0.39930","6.87957"
"7.00000","6.97947","0.43527","0.21811","0.07255","0.43527","6.97947"
"7.10000","7.07952","0.41842","0.22124","0.06974","0.41842","7.07952"
"7.20000","7.17954","0.43757","0.22436","0.07293","0.43757","7.17954"
